ad_type,impressions,spend_usd,geo_targeting_included,CPM
Video,10,550.0,Alaska,55000.0
Image,10100,550.0,Nebraska,54.45544554455446
Image,1001,550.0,Nebraska,549.4505494505495
Text,10100,550.0,Oregon,54.45544554455446
Image,1001,550.0,Idaho,549.4505494505495
Text,10,550.0,Alaska,55000.0
Text,10,550.0,Oklahoma,55000.0
Text,10,550.0,Nebraska,55000.0
Image,1001,550.0,Kansas,549.4505494505495
Video,10100,550.0,Oregon,54.45544554455446
Video,10,550.0,Arkansas,55000.0
Text,10,550.0,Idaho,55000.0
Text,10,550.0,Connecticut,55000.0
Text,10,550.0,Arkansas,55000.0
Text,10,550.0,Oregon,55000.0
Text,10,550.0,New Mexico,55000.0
Text,10,550.0,Delaware,55000.0
Video,10100,550.0,Kansas,54.45544554455446
Text,10,550.0,Maryland,55000.0
Video,10,550.0,New Mexico,55000.0
Image,10100,550.0,Rhode Island,54.45544554455446
Image,10100,550.0,South Dakota,54.45544554455446
Video,10,550.0,Nebraska,55000.0
Video,10,550.0,Vermont,55000.0
Image,1001,550.0,Vermont,549.4505494505495
Text,10,550.0,Kansas,55000.0
Text,10,550.0,Hawaii,55000.0
Text,10,550.0,Vermont,55000.0
Video,10100,550.0,New Mexico,54.45544554455446
Video,10100,550.0,Alaska,54.45544554455446
Text,10,550.0,Rhode Island,55000.0
Video,10100,550.0,Arkansas,54.45544554455446
Image,10100,550.0,Delaware,54.45544554455446
Video,10,550.0,Kansas,55000.0
Video,10100,550.0,Vermont,54.45544554455446
Image,10100,550.0,Oregon,54.45544554455446
Image,10100,550.0,Idaho,54.45544554455446
Text,10,550.0,South Dakota,55000.0
Image,10100,550.0,Oklahoma,54.45544554455446
Video,10100,550.0,South Dakota,54.45544554455446
Image,1001,550.0,Oklahoma,549.4505494505495
Video,10100,550.0,Delaware,54.45544554455446
Image,1001,550.0,Arkansas,549.4505494505495
Image,1001,550.0,Oregon,549.4505494505495
Text,10100,550.0,New Mexico,54.45544554455446
Video,10100,550.0,Oklahoma,54.45544554455446
Image,1001,550.0,Delaware,549.4505494505495
Image,1001,550.0,Connecticut,549.4505494505495
Text,1001,550.0,Delaware,549.4505494505495
Video,10,550.0,Oklahoma,55000.0
Video,10100,550.0,Connecticut,54.45544554455446
Image,1001,550.0,South Dakota,549.4505494505495
Video,10100,550.0,Hawaii,54.45544554455446
Image,10100,550.0,Arkansas,54.45544554455446
Video,10100,550.0,Maryland,54.45544554455446
Text,10100,550.0,Vermont,54.45544554455446
Image,1001,550.0,Hawaii,549.4505494505495
Image,10100,550.0,Maryland,54.45544554455446
Text,10100,550.0,South Dakota,54.45544554455446
Text,10100,550.0,Delaware,54.45544554455446
Video,10,550.0,Maryland,55000.0
Image,10100,550.0,New Mexico,54.45544554455446
Image,1001,550.0,Maryland,549.4505494505495
Image,1001,550.0,Rhode Island,549.4505494505495
Image,10,550.0,Maryland,55000.0
Video,10100,550.0,Idaho,54.45544554455446
Text,10100,550.0,Oklahoma,54.45544554455446
Image,10100,550.0,Kansas,54.45544554455446
Text,10100,550.0,Idaho,54.45544554455446
Text,10100,550.0,Maryland,54.45544554455446
Video,110,550.0,Arkansas,5000.0
Video,1001,550.0,Nebraska,549.4505494505495
Video,1001,550.0,Kansas,549.4505494505495
Text,10100,550.0,Nebraska,54.45544554455446
Image,110,550.0,Oklahoma,5000.0
Video,1001,550.0,South Dakota,549.4505494505495
Image,1001,550.0,Alaska,549.4505494505495
Image,10100,550.0,Connecticut,54.45544554455446
Video,10100,550.0,Nebraska,54.45544554455446
Video,1001,550.0,Connecticut,549.4505494505495
Video,1001,550.0,Alaska,549.4505494505495
Video,1001,550.0,Arkansas,549.4505494505495
Text,10100,550.0,Connecticut,54.45544554455446
Image,1001,550.0,New Mexico,549.4505494505495
Text,10100,550.0,Arkansas,54.45544554455446
Image,110,550.0,Maryland,5000.0
Video,1001,550.0,Oklahoma,549.4505494505495
Video,1001,550.0,Oregon,549.4505494505495
Image,1001,25500.0,South Dakota,25474.525474525475
Video,1001,25500.0,Alaska,25474.525474525475
Video,1001,25500.0,Rhode Island,25474.525474525475
Video,110,25500.0,Kansas,231818.18181818182
Video,110,25500.0,New Mexico,231818.18181818182
Video,110,25500.0,Alaska,231818.18181818182
Text,10100,25500.0,Oregon,2524.7524752475247
Video,1001,25500.0,Kansas,25474.525474525475
Video,10,25500.0,Arkansas,2550000.0
Video,1001,25500.0,Oregon,25474.525474525475
Video,1001,25500.0,Maryland,25474.525474525475
Text,10100,25500.0,Kansas,2524.7524752475247
Video,110,25500.0,Maryland,231818.18181818182
Text,1001,25500.0,Maryland,25474.525474525475
Text,1001,25500.0,Oklahoma,25474.525474525475
Image,110,25500.0,Alaska,231818.18181818182
Text,1001,25500.0,Oregon,25474.525474525475
Video,110,25500.0,Oregon,231818.18181818182
Video,110,25500.0,Delaware,231818.18181818182
Video,10100,25500.0,Oklahoma,2524.7524752475247
Video,10100,25500.0,Alaska,2524.7524752475247
Text,10100,25500.0,New Mexico,2524.7524752475247
Video,1001,25500.0,Oklahoma,25474.525474525475
Text,10100,25500.0,Alaska,2524.7524752475247
Text,10,25500.0,South Dakota,2550000.0
Image,1001,25500.0,Nebraska,25474.525474525475
Video,10100,25500.0,Vermont,2524.7524752475247
Video,10100,25500.0,Arkansas,2524.7524752475247
Video,1001,25500.0,Arkansas,25474.525474525475
Image,1001,25500.0,Kansas,25474.525474525475
Image,110,25500.0,Nebraska,231818.18181818182
Text,10,25500.0,Arkansas,2550000.0
Text,10,25500.0,Oregon,2550000.0
Text,10,25500.0,Oklahoma,2550000.0
Text,10,25500.0,Alaska,2550000.0
Video,1001,25500.0,Delaware,25474.525474525475
Image,1001,25500.0,Alaska,25474.525474525475
Video,10100,25500.0,Nebraska,2524.7524752475247
Image,110,25500.0,Kansas,231818.18181818182
Image,110,25500.0,Maryland,231818.18181818182
Text,10100,25500.0,Rhode Island,2524.7524752475247
Image,1001,25500.0,Oklahoma,25474.525474525475
Image,1001,25500.0,Maryland,25474.525474525475
Text,10100,25500.0,Oklahoma,2524.7524752475247
Video,10100,25500.0,Kansas,2524.7524752475247
Video,1001,25500.0,Vermont,25474.525474525475
